"AWL_ID","EVENT_ID","RACE_CODE","SCALLOP_NUMBER","SCAL_SIZE_CLASS","CLAPPER","AGE_STRUCTURE_COLLECTED","WHOLE_WT_GRAMS","SHELL_WORM_SW","SHELL_HEIGHT_MM","SEX_SW","SCAL_GONAD_COND","MUD_BLISTER_SW","MEAT_CONDITION_SW","MEAT_WEIGHT_GRAMS","D1_SW","D2_SW","D3_SW","CRAB_NUM","BIOLOGICAL_WIDTH_MM","SHELL_CONDITION_SW","CONDITION_SW","SAMPLE_TYPE","SAMPLER","BASKET_ID"
129876,"2016D02001","74120","1","1","","1",81.000000,"0",104.000000,"0","0","0","0",7.000000,"1",,,,,,,"1","MDS",
129877,"2016D02001","74120","2","1","","1",93.000000,"0",103.000000,"2","3","0","0",9.000000,"0",,,,,,,"1","MDS",
129878,"2016D02001","74120","3","1","","1",151.000000,"0",136.000000,"1","3","0","0",17.000000,"0",,,,,,,"1","MDS",
129879,"2016D02001","74120","4","1","","1",151.000000,"0",127.000000,"1","3","0","0",13.000000,"0",,,,,,,"1","MDS",
129880,"2016D02001","74120","5","1","","1",188.000000,"0",134.000000,"1","3","0","0",20.000000,"1",,,,,,,"1","MDS",
129881,"2016D02001","74120","6","1","","1",151.000000,"0",119.000000,"2","3","0","0",16.000000,"0",,,,,,,"1","MDS",
129882,"2016D02001","74120","7","1","","1",111.000000,"0",105.000000,"1","3","0","0",13.000000,"0",,,,,,,"1","MDS",
129883,"2016D02001","74120","8","1","","1",194.000000,"0",133.000000,"1","0","0","0",19.000000,"1",,,,,,,"1","MDS",
129884,"2016D02001","74120","9","1","","1",145.000000,"0",124.000000,"1","3","0","0",17.000000,"0",,,,,,,"1","MDS",
129885,"2016D02001","74120","10","1","","1",165.000000,"0",129.000000,"1","3","0","0",17.000000,"0",,,,,,,"1","MDS",
129886,"2016D02001","74120","11","2","","1",,"0",35.000000,"0","0","0","0",,"0",,,,,,,"1","MDS",
129887,"2016D02001","74120","12","2","","1",,"0",37.000000,"0","0","0","0",,"0",,,,,,,"1","MDS",
129888,"2016D02002","74120","1","1","","1",162.000000,"0",140.000000,"1","2","0","0",19.000000,"0",,,,,,,"1","MDS",
129889,"2016D02003","74120","1","1","","1",83.000000,"0",108.000000,"1","3","0","0",11.000000,"0",,,,,,,"1","MDS",
129890,"2016D02003","74120","2","1","","1",161.000000,"1",132.000000,"1","3","0","0",17.000000,"0",,,,,,,"1","MDS",
129891,"2016D02003","74120","3","1","","1",128.000000,"0",116.000000,"1","3","0","0",13.000000,"0",,,,,,,"1","MDS",
129892,"2016D02003","74120","4","1","","1",155.000000,"0",128.000000,"2","3","0","0",15.000000,"0",,,,,,,"1","MDS",
129893,"2016D02003","74120","5","1","","1",218.000000,"0",129.000000,"2","3","0","0",16.000000,"0",,,,,,,"1","MDS",
129894,"2016D02003","74120","6","1","","1",168.000000,"0",127.000000,"2","3","0","0",18.000000,"0",,,,,,,"1","MDS",
129895,"2016D02003","74120","7","1","","1",201.000000,"0",133.000000,"1","3","0","0",18.000000,"0",,,,,,,"1","MDS",
129896,"2016D02003","74120","8","1","","1",168.000000,"0",118.000000,"2","3","0","0",17.000000,"0",,,,,,,"1","MDS",
129897,"2016D02003","74120","9","1","","1",157.000000,"0",,"1","3","0","0",14.000000,"1",,,,,,,"1","MDS",
