Bed,Size,est,l95,u95
EK1,small,16510,10105,35808
EK1,large,2567902,2058111,4316377
EK1,all,2584412,2002459,4135258
KSH1,small,3375906,2708589,5181775
KSH1,large,3265723,2965384,4253104
KSH1,all,6641628,5867207,8865343
KSH2,small,1135591,941391,1696681
KSH2,large,109902,80657,199478
KSH2,all,1245493,1050708,1858970
KSH3,small,146660,0,293320
KSH3,large,78942,7261,150624
KSH3,all,225602,7261,443944
WK1,small,4064786,2404910,8182996
WK1,large,5338997,3888078,9609702
WK1,all,9403783,6694459,17579554
