tow_id,count,wt_lb,Size,Bed,area_swept
2016D02001,0,0,clapper,WK1,0.0012386025563100001
2016D02001,2,0.0220462,small,WK1,0.0012386025563100001
2016D02001,16,5.709965799999999,large,WK1,0.0012386025563100001
2016D02001,18,5.732011999999999,all,WK1,0.0012386025563100001
2016D02002,0,0,clapper,WK1,0.00123070014305
2016D02002,0,0,small,WK1,0.00123070014305
2016D02002,1,0.48501639999999996,large,WK1,0.00123070014305
2016D02002,1,0.48501639999999996,all,WK1,0.00123070014305
2016D02003,0,0,clapper,WK1,0.0012236509060300001
2016D02003,0,0,small,WK1,0.0012236509060300001
2016D02003,56,21.142305799999995,large,WK1,0.0012236509060300001
2016D02003,56,21.142305799999995,all,WK1,0.0012236509060300001
2016D02004,0,0,clapper,WK1,0.00123205758858
2016D02004,168,14.4182148,small,WK1,0.00123205758858
2016D02004,242,66.4913392,large,WK1,0.00123205758858
2016D02004,410,80.909554,all,WK1,0.00123205758858
2016D02005,0,0,clapper,WK1,0.00116094113576
2016D02005,204,3.527392,small,WK1,0.00116094113576
2016D02005,62,20.635243199999998,large,WK1,0.00116094113576
2016D02005,266,24.162635199999997,all,WK1,0.00116094113576
2016D02006,0,0,clapper,WK1,0.00118936586083
2016D02006,2,0.0440924,small,WK1,0.00118936586083
2016D02006,11,5.51155,large,WK1,0.00118936586083
2016D02006,13,5.5556424,all,WK1,0.00118936586083
2016D02007,0,0,clapper,WK1,0.00122198141919
2016D02007,3,0.033069299999999996,small,WK1,0.00122198141919
2016D02007,15,6.7902296,large,WK1,0.00122198141919
2016D02007,18,6.8232989,all,WK1,0.00122198141919
2016D02008,0,0,clapper,WK1,0.00119201228713
2016D02008,351,10.141252,small,WK1,0.00119201228713
2016D02008,335,127.18452779999998,large,WK1,0.00119201228713
2016D02008,686,137.3257798,all,WK1,0.00119201228713
2016D02009,0,0,clapper,WK1,0.00121919148022
2016D02009,604,13.646597799999999,small,WK1,0.00121919148022
2016D02009,609,198.305569,large,WK1,0.00121919148022
2016D02009,1213,211.9521668,all,WK1,0.00121919148022
2016D02010,0,0,clapper,WK1,0.00121135621509
2016D02010,0,0,small,WK1,0.00121135621509
2016D02010,68,22.950094199999995,large,WK1,0.00121135621509
2016D02010,68,22.950094199999995,all,WK1,0.00121135621509
2016D02011,0,0,clapper,WK1,0.0012087071555300002
2016D02011,1,0.0220462,small,WK1,0.0012087071555300002
2016D02011,14,7.6720776,large,WK1,0.0012087071555300002
2016D02011,15,7.6941238,all,WK1,0.0012087071555300002
2016D02013,0,0,clapper,WK1,0.00111076831635
2016D02013,0,0,small,WK1,0.00111076831635
